"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K550","2019-09-23 00:00:00","15.000","2.000","1.300","23.700","0.700","1012.900","","0.000","-99.000","-99.000","-99.000","29.700","","23.100",""
"C0R350","2019-09-23 00:00:00","35.000","81.000","3.200","23.900","0.980","1010.700","","52.500","-99.000","-99.000","-99.000","25.400","","22.000",""
"C0T9F0","2019-09-23 00:00:00","251.000","266.000","0.700","19.900","0.950","987.300","","11.000","-99.000","-99.000","-99.000","23.000","","19.900",""
"C0D390","2019-09-23 00:00:00","146.000","0.000","0.000","20.600","0.900","997.700","","0.500","-99.000","-99.000","-99.000","27.600","","19.000",""
"C0E430","2019-09-23 00:00:00","258.000","0.000","0.000","20.300","0.920","989.400","","0.000","-99.000","-99.000","-99.000","26.400","","19.400",""
"C0O990","2019-09-23 00:00:00","18.000","18.000","0.600","23.100","0.980","1011.500","","0.000","-99.000","-99.000","-99.000","31.200","","23.000",""
"CM0010","2019-09-23 00:00:00","68.000","71.000","0.600","21.600","-99.000","1008.700","","0.000","-99.000","-99.000","-99.000","26.600","","20.100",""
"C0K500","2019-09-23 00:00:00","12.000","9.000","2.000","23.400","0.700","1011.800","","0.000","-99.000","-99.000","-99.000","30.100","","22.800",""
"C0X260","2019-09-23 00:00:00","39.000","19.000","1.100","22.500","0.870","1010.200","","0.000","-99.000","-99.000","-99.000","30.800","","22.400",""
"C0ACA0","2019-09-23 00:00:00","25.000","0.000","0.000","22.700","0.790","1012.200","","0.000","-99.000","-99.000","-99.000","26.400","","21.100",""
"C0X180","2019-09-23 00:00:00","62.000","0.000","0.200","23.000","0.960","1006.200","","0.000","-99.000","-99.000","-99.000","31.100","","22.900",""
"C0F930","2019-09-23 00:00:00","100.000","43.000","0.600","24.400","0.790","1002.800","","0.000","-99.000","-99.000","-99.000","30.200","","24.100",""
"C0I010","2019-09-23 00:00:00","1562.000","220.000","0.800","15.300","0.980","850.200","","2.500","-99.000","-99.000","-99.000","18.000","","14.900",""
"C0R190","2019-09-23 00:00:00","32.000","153.000","0.600","25.100","0.970","1009.600","","0.000","-99.000","-99.000","-99.000","30.700","","23.600",""
"C0E420","2019-09-23 00:00:00","19.000","0.000","0.000","22.400","0.780","1011.400","","0.000","-99.000","-99.000","-99.000","27.600","","20.600",""
"C0W160","2019-09-23 00:00:00","49.000","64.000","12.300","25.300","0.720","1006.800","","0.000","-99.000","-99.000","-99.000","27.700","","24.700",""
